file,line,approx,answerable
src/main/java/com/fasterxml/jackson/core/base/ParserBase.java,869,False,True
src/main/java/com/fasterxml/jackson/core/base/ParserBase.java,870,False,True
src/main/java/com/fasterxml/jackson/core/base/ParserBase.java,871,False,True
src/main/java/com/fasterxml/jackson/core/base/ParserBase.java,887,False,True
src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java,565,False,True
src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java,566,False,True
src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java,570,True,False
src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java,582,False,True
src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java,583,False,True
src/main/java/com/fasterxml/jackson/core/base/ParserMinimalBase.java,587,True,False
