file,line,approx,answerable,reason
src/java/org/apache/commons/codec/binary/Base64.java,419,False,False,live_line_never_executed
src/java/org/apache/commons/codec/binary/Base64.java,420,False,True,
src/java/org/apache/commons/codec/binary/Base64.java,421,False,True,
src/java/org/apache/commons/codec/binary/Base64.java,422,False,True,
src/java/org/apache/commons/codec/binary/Base64.java,423,False,True,
src/java/org/apache/commons/codec/binary/Base64.java,424,False,False,live_line_never_executed
src/java/org/apache/commons/codec/binary/Base64.java,425,False,False,live_line_never_executed
src/java/org/apache/commons/codec/binary/Base64InputStream.java,169,False,True,
src/java/org/apache/commons/codec/binary/Base64InputStream.java,170,False,True,
src/java/org/apache/commons/codec/binary/Base64InputStream.java,171,False,False,live_line_never_executed
