file,line,approx,answerable,reason
src/main/java/org/apache/commons/math3/util/FastMath.java,82,True,False,dead_code_never_executed
src/main/java/org/apache/commons/math3/util/FastMath.java,397,False,True,
src/main/java/org/apache/commons/math3/util/FastMath.java,394,True,True,
src/main/java/org/apache/commons/math3/util/FastMath.java,395,True,True,
src/main/java/org/apache/commons/math3/util/FastMath.java,399,True,True,
src/main/java/org/apache/commons/math3/util/FastMath.java,400,True,True,
src/main/java/org/apache/commons/math3/util/FastMath.java,458,False,True,
src/main/java/org/apache/commons/math3/util/FastMath.java,455,True,True,
src/main/java/org/apache/commons/math3/util/FastMath.java,456,True,True,
src/main/java/org/apache/commons/math3/util/FastMath.java,460,True,True,
src/main/java/org/apache/commons/math3/util/FastMath.java,461,True,True,
