file,line,approx,answerable
src/main/java/org/jsoup/select/CombiningEvaluator.java,64,True,False
src/main/java/org/jsoup/select/QueryParser.java,58,False,True
src/main/java/org/jsoup/select/QueryParser.java,59,False,True
src/main/java/org/jsoup/select/QueryParser.java,60,False,True
src/main/java/org/jsoup/select/QueryParser.java,61,False,True
src/main/java/org/jsoup/select/QueryParser.java,62,False,True
src/main/java/org/jsoup/select/QueryParser.java,63,False,True
src/main/java/org/jsoup/select/QueryParser.java,64,False,True
src/main/java/org/jsoup/select/QueryParser.java,65,False,True
src/main/java/org/jsoup/select/QueryParser.java,66,False,True
src/main/java/org/jsoup/select/QueryParser.java,101,True,False
