file,line,approx,answerable
src/main/java/org/apache/commons/lang3/text/translate/EntityArrays.java,74,False,True
src/main/java/org/apache/commons/lang3/text/translate/EntityArrays.java,75,False,True
src/main/java/org/apache/commons/lang3/text/translate/EntityArrays.java,76,False,True
src/main/java/org/apache/commons/lang3/text/translate/EntityArrays.java,77,False,True
src/main/java/org/apache/commons/lang3/text/translate/EntityArrays.java,78,False,True
src/main/java/org/apache/commons/lang3/text/translate/EntityArrays.java,79,False,True
src/main/java/org/apache/commons/lang3/text/translate/EntityArrays.java,80,False,True
src/main/java/org/apache/commons/lang3/text/translate/EntityArrays.java,81,False,True
src/main/java/org/apache/commons/lang3/text/translate/EntityArrays.java,82,False,True
src/main/java/org/apache/commons/lang3/text/translate/EntityArrays.java,83,False,True
src/main/java/org/apache/commons/lang3/text/translate/EntityArrays.java,84,False,True
src/main/java/org/apache/commons/lang3/text/translate/EntityArrays.java,85,False,True
src/main/java/org/apache/commons/lang3/text/translate/EntityArrays.java,86,False,True
src/main/java/org/apache/commons/lang3/text/translate/EntityArrays.java,87,False,True
src/main/java/org/apache/commons/lang3/text/translate/EntityArrays.java,88,False,True
src/main/java/org/apache/commons/lang3/text/translate/EntityArrays.java,89,False,True
src/main/java/org/apache/commons/lang3/text/translate/EntityArrays.java,90,False,True
src/main/java/org/apache/commons/lang3/text/translate/EntityArrays.java,91,False,True
src/main/java/org/apache/commons/lang3/text/translate/EntityArrays.java,92,False,True
src/main/java/org/apache/commons/lang3/text/translate/EntityArrays.java,93,False,True
src/main/java/org/apache/commons/lang3/text/translate/EntityArrays.java,94,False,True
src/main/java/org/apache/commons/lang3/text/translate/EntityArrays.java,95,False,True
src/main/java/org/apache/commons/lang3/text/translate/EntityArrays.java,96,False,True
src/main/java/org/apache/commons/lang3/text/translate/EntityArrays.java,97,False,True
src/main/java/org/apache/commons/lang3/text/translate/EntityArrays.java,98,False,True
src/main/java/org/apache/commons/lang3/text/translate/EntityArrays.java,99,False,True
src/main/java/org/apache/commons/lang3/text/translate/EntityArrays.java,100,False,True
