Project,BugID,Total_Faults,Included_In_Slice,Fault_Inclusion_Rate,Fail_Assert_Count,All_Faulty_Stmts_In_Slice,Faulty_Stmts_In_Slice
Cli,11b,1,0,0.0,2,False,False
Cli,12b,1,0,0.0,4,False,False
Cli,14b,5,0,0.0,1,False,False
Cli,13b,5,0,0.0,1,False,False
Cli,15b,7,0,0.0,2,False,False
Cli,17b,1,0,0.0,1,False,False
Cli,16b,7,0,0.0,3,False,False
Cli,18b,5,0,0.0,1,False,False
Cli,19b,3,0,0.0,2,False,False
Cli,1b,29,13,0.448276,2,False,True
Cli,20b,4,0,0.0,1,False,False
Cli,22b,13,0,0.0,2,False,False
Cli,23b,3,0,0.0,4,False,False
Cli,21b,15,0,0.0,1,False,False
Cli,24b,1,0,0.0,3,False,False
Cli,25b,1,0,0.0,3,False,False
Cli,26b,4,0,0.0,2,False,False
Cli,27b,2,0,0.0,2,False,False
Cli,29b,5,3,0.6,2,False,True
Cli,2b,2,0,0.0,2,False,False
Cli,28b,1,0,0.0,2,False,False
Cli,30b,6,0,0.0,2,False,False
Cli,32b,3,0,0.0,1,False,False
Cli,31b,4,0,0.0,1,False,False
Cli,33b,4,0,0.0,1,False,False
Cli,35b,1,0,0.0,1,False,False
Cli,34b,2,1,0.5,2,False,True
Cli,37b,2,0,0.0,0,False,False
Cli,38b,2,0,0.0,1,False,False
Cli,39b,2,0,0.0,0,False,False
Cli,36b,5,2,0.4,1,False,True
Cli,3b,2,0,0.0,1,False,False
Cli,4b,1,0,0.0,3,False,False
Cli,7b,3,1,0.333333,1,False,True
Cli,5b,1,0,0.0,3,False,False
Cli,8b,1,1,1.0,2,True,True
Codec,10b,1,0,0.0,1,False,False
Cli,9b,2,1,0.5,2,False,True
Codec,11b,23,0,0.0,5,False,False
Codec,12b,5,0,0.0,10,False,False
Codec,14b,10,0,0.0,0,False,False
Codec,15b,5,0,0.0,1,False,False
Codec,16b,1,0,0.0,1,False,False
Codec,17b,1,0,0.0,1,False,False
Codec,18b,1,0,0.0,2,False,False
Codec,1b,3,0,0.0,0,False,False
Codec,2b,1,0,0.0,2,False,False
Codec,3b,1,0,0.0,1,False,False
Codec,4b,1,0,0.0,0,False,False
Codec,5b,1,0,0.0,2,False,False
Codec,6b,3,0,0.0,0,False,False
Codec,7b,1,0,0.0,1,False,False
Codec,8b,10,0,0.0,1,False,False
Codec,13b,3,0,0.0,2,False,False
Collections,25b,3,1,0.333333,1,False,True
Collections,26b,1,0,0.0,1,False,False
Collections,27b,1,0,0.0,0,False,False
Collections,28b,1,0,0.0,0,False,False
Csv,10b,1,0,0.0,1,False,False
Csv,11b,1,0,0.0,1,False,False
Codec,9b,1,0,0.0,1,False,False
Csv,13b,2,2,1.0,2,True,True
Csv,12b,1,1,1.0,1,True,True
Csv,14b,1,0,0.0,6,False,False
Csv,15b,3,0,0.0,1,False,False
Csv,16b,4,2,0.5,1,False,True
Csv,1b,1,0,0.0,1,False,False
Csv,2b,2,0,0.0,1,False,False
Csv,4b,1,0,0.0,1,False,False
Csv,3b,2,0,0.0,2,False,False
Csv,5b,2,0,0.0,1,False,False
Csv,6b,2,0,0.0,1,False,False
Csv,7b,2,0,0.0,0,False,False
Csv,9b,1,0,0.0,1,False,False
Csv,8b,8,0,0.0,1,False,False
JacksonXml,2b,6,0,0.0,1,False,False
JacksonXml,1b,6,0,0.0,3,False,False
JacksonXml,3b,2,0,0.0,1,False,False
JacksonXml,5b,1,0,0.0,1,False,False
JacksonXml,4b,2,0,0.0,1,False,False
JacksonXml,6b,10,0,0.0,5,False,False
Jsoup,7b,4,0,0.0,0,False,False
Jsoup,6b,2,0,0.0,1,False,False
Chart,6b,1,0,0.0,2,False,False
Chart,7b,2,0,0.0,1,False,False
Chart,8b,1,1,1.0,1,True,True
Chart,9b,1,0,0.0,1,False,False
Chart,10b,1,0,0.0,0,False,False
Chart,5b,2,1,0.5,1,False,True
Chart,3b,1,1,1.0,1,True,True
Chart,1b,1,1,1.0,1,True,True
Chart,4b,2,0,0.0,7,False,False
Chart,12b,1,0,0.0,1,False,False
Chart,11b,1,1,1.0,1,True,True
Chart,16b,3,3,1.0,8,True,True
Chart,17b,1,0,0.0,1,False,False
Chart,15b,3,1,0.333333,1,False,True
Chart,14b,4,0,0.0,4,False,False
Chart,13b,1,0,0.0,0,False,False
Chart,19b,2,0,0.0,2,False,False
Chart,21b,4,0,0.0,1,False,False
Chart,24b,1,0,0.0,0,False,False
Chart,25b,6,2,0.333333,4,False,True
Chart,23b,1,0,0.0,1,False,False
Chart,20b,1,1,1.0,1,True,True
Chart,22b,7,1,0.142857,5,False,True
Gson,3b,2,0,0.0,2,False,False
Chart,18b,6,0,0.0,4,False,False
Gson,5b,1,0,0.0,1,False,False
Gson,1b,6,0,0.0,1,False,False
Chart,2b,6,0,0.0,2,False,False
Chart,26b,2,1,0.5,22,False,True
Gson,8b,5,1,0.2,2,False,True
Gson,2b,2,0,0.0,1,False,False
Gson,9b,6,0,0.0,1,False,False
Gson,12b,4,0,0.0,2,False,False
Gson,11b,1,0,0.0,1,False,False
Gson,14b,4,0,0.0,4,False,False
Gson,6b,2,0,0.0,2,False,False
Gson,16b,2,0,0.0,0,False,False
Gson,15b,1,0,0.0,1,False,False
Gson,18b,2,0,0.0,1,False,False
JacksonCore,1b,7,0,0.0,1,False,False
Gson,17b,2,0,0.0,2,False,False
Gson,10b,1,0,0.0,1,False,False
JacksonCore,2b,13,0,0.0,2,False,False
JacksonCore,4b,2,1,0.5,1,False,True
JacksonCore,3b,2,1,0.5,1,False,True
JacksonCore,5b,1,0,0.0,1,False,False
JacksonCore,7b,1,0,0.0,2,False,False
JacksonCore,6b,2,2,1.0,1,True,True
JacksonCore,8b,1,1,1.0,1,True,True
JacksonCore,9b,6,0,0.0,2,False,False
JacksonCore,11b,1,0,0.0,1,False,False
Gson,4b,18,0,0.0,3,False,False
JacksonCore,13b,1,0,0.0,1,False,False
JacksonCore,15b,3,0,0.0,1,False,False
JacksonCore,16b,9,6,0.666667,1,False,True
JacksonCore,17b,7,0,0.0,1,False,False
JacksonCore,14b,3,0,0.0,0,False,False
JacksonCore,12b,14,2,0.142857,1,False,True
JacksonCore,18b,11,1,0.090909,1,False,True
JacksonCore,19b,2,0,0.0,1,False,False
JacksonCore,20b,1,0,0.0,2,False,False
JacksonCore,21b,1,1,1.0,2,True,True
JacksonCore,22b,10,6,0.6,12,False,True
JacksonCore,23b,1,0,0.0,1,False,False
Gson,7b,4,0,0.0,2,False,False
JxPath,1b,2,0,0.0,2,False,False
JacksonCore,26b,1,1,1.0,1,True,True
JxPath,2b,4,0,0.0,1,False,False
JxPath,3b,4,0,0.0,1,False,False
JxPath,4b,31,0,0.0,6,False,False
JxPath,5b,1,0,0.0,1,False,False
JxPath,6b,2,0,0.0,1,False,False
JxPath,7b,34,0,0.0,1,False,False
JxPath,8b,2,0,0.0,1,False,False
Gson,13b,1,1,1.0,1,True,True
JxPath,11b,5,0,0.0,0,False,False
JxPath,10b,1,0,0.0,1,False,False
